STATE FIPS,COUNTY FIPS,PLANNING REGION FIPS,PLANNING REGION NAME,TOWN FIPS,TOWN NAME,SEX,AGEGRP,AGE_CODE,ALL_RACE-ETHN,NH_WHITE,NH_BLACK,NH_AIAN,NH_ASIAN,NH_NHOPI,NH_TOM,HISP
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,85+,18,224,215,4,0,1,0,2,2
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,00--04,1,2387,882,164,2,157,0,95,1087
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,05--09,2,2447,792,210,2,143,1,91,1208
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,10--14,3,2615,916,193,6,132,0,82,1286
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,15--19,4,2718,1042,231,5,127,1,82,1230
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,20--24,5,3101,1383,256,7,172,4,107,1172
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,25--29,6,2964,1281,215,3,183,2,66,1214
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,30--34,7,3298,1423,247,5,265,0,57,1301
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,35--39,8,3472,1437,285,2,283,1,49,1415
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,40--44,9,3186,1408,323,3,184,1,30,1237
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,45--49,10,2824,1269,277,3,186,0,35,1054
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,50--54,11,2961,1644,223,11,203,0,38,842
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,55--59,12,3004,1900,206,1,184,1,53,659
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,60--64,13,2750,1914,162,1,186,0,19,468
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,65--69,14,2177,1630,125,1,126,0,33,262
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,70--74,15,1528,1151,62,5,102,0,15,193
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,75--79,16,952,755,49,0,57,0,2,89
